,Borough,LSOA,Major Category,Population,Mean,Standard Deviation,Normalised Deviation
29393,Kingston upon Thames,E01002968,Violence Against the Person,5874,658.4,165.7,3.97
47296,Westminster,E01004734,Violence Against the Person,3398,2333.2,676.1,3.45
11599,Croydon,E01034150,Violence Against the Person,2624,1011.3,324.5,3.12
47682,Westminster,E01035716,Violence Against the Person,4402,1226.2,397.3,3.09
44035,Waltham Forest,E01004397,Violence Against the Person,5792,259.6,86.6,3.0
23262,Havering,E01002356,Violence Against the Person,4214,736.3,245.8,3.0
8352,Camden,E01000863,Violence Against the Person,2958,956.3,324.6,2.95
13510,Ealing,E01034030,Violence Against the Person,3668,466.7,158.7,2.94
9117,Camden,E01000947,Violence Against the Person,3312,382.6,130.8,2.93
47534,Westminster,E01004763,Violence Against the Person,6093,780.4,267.0,2.92
42551,Tower Hamlets,E01004309,Violence Against the Person,5686,230.2,80.6,2.86
1071,Barking and Dagenham,E01034473,Violence Against the Person,2588,539.1,190.0,2.84
41706,Sutton,E01034156,Violence Against the Person,2706,691.7,245.2,2.82
26602,Hounslow,E01034036,Violence Against the Person,3640,266.6,95.3,2.8
19180,Hammersmith and Fulham,E01001941,Violence Against the Person,3092,398.4,143.1,2.78
13176,Ealing,E01001361,Violence Against the Person,4542,380.9,139.2,2.74
9405,Camden,E01035711,Violence Against the Person,4800,334.1,122.9,2.72
40204,Southwark,E01004067,Violence Against the Person,4424,334.8,124.3,2.69
32637,Lewisham,E01003303,Violence Against the Person,3486,314.9,116.9,2.69
35738,Newham,E01003619,Violence Against the Person,4946,198.3,73.6,2.69
19200,Hammersmith and Fulham,E01001943,Violence Against the Person,4450,484.3,180.2,2.69
13907,Enfield,E01001429,Violence Against the Person,4588,326.0,121.6,2.68
30152,Lambeth,E01003047,Violence Against the Person,3596,811.2,303.5,2.67
47316,Westminster,E01004736,Violence Against the Person,3094,1399.7,525.7,2.66
13079,Ealing,E01001351,Violence Against the Person,3986,298.7,112.8,2.65
38996,Southwark,E01003921,Violence Against the Person,3794,306.8,115.6,2.65
47306,Westminster,E01004735,Violence Against the Person,4088,496.6,188.7,2.63
41816,Tower Hamlets,E01004208,Violence Against the Person,3954,276.1,104.8,2.63
37770,Redbridge,E01033589,Violence Against the Person,3860,331.3,126.9,2.61
5063,Brent,E01000524,Violence Against the Person,4768,251.7,96.9,2.6
32765,Lewisham,E01003318,Violence Against the Person,6228,245.1,94.5,2.59
20091,Haringey,E01002031,Violence Against the Person,3746,230.8,89.3,2.58
46653,Westminster,E01004658,Violence Against the Person,3096,327.9,128.3,2.56
24789,Hillingdon,E01002521,Violence Against the Person,4110,319.9,125.5,2.55
40157,Southwark,E01004062,Violence Against the Person,4356,220.7,86.4,2.55
9785,Croydon,E01001013,Violence Against the Person,4370,306.9,120.9,2.54
24672,Hillingdon,E01002506,Violence Against the Person,6162,182.6,71.9,2.54
23586,Havering,E01032741,Violence Against the Person,2968,395.4,157.0,2.52
45272,Wandsworth,E01004525,Violence Against the Person,3866,345.2,137.5,2.51
35211,Newham,E01003558,Violence Against the Person,3420,232.4,92.9,2.5
12227,Ealing,E01001261,Violence Against the Person,4588,209.4,84.4,2.48
47514,Westminster,E01004761,Violence Against the Person,3651,483.5,194.6,2.48
35983,Newham,E01034200,Violence Against the Person,3146,550.7,222.4,2.48
38564,Richmond upon Thames,E01003876,Violence Against the Person,3754,289.1,117.1,2.47
20071,Haringey,E01002029,Violence Against the Person,6414,216.3,87.6,2.47
8871,Camden,E01000919,Violence Against the Person,2918,389.5,157.4,2.47
11695,Ealing,E01001202,Violence Against the Person,4958,188.3,76.7,2.46
47426,Westminster,E01004750,Violence Against the Person,3268,300.1,122.5,2.45
27653,Islington,E01002795,Violence Against the Person,3892,230.5,94.2,2.45
30036,Lambeth,E01003035,Violence Against the Person,3342,368.6,150.4,2.45
16533,Greenwich,E01033735,Violence Against the Person,2540,352.5,144.4,2.44
43987,Waltham Forest,E01004392,Violence Against the Person,5146,176.4,73.0,2.42
30631,Lambeth,E01003096,Violence Against the Person,4196,263.0,108.5,2.42
