,Borough,Major Category,LSOA,Population,Mean,Range,Normalised Deviation,Regression
25082,Hillingdon,Violence Against the Person,E01002400,5985,49.1,0.00013543787539146626,1556.47,0.048
19335,Hammersmith and Fulham,Violence Against the Person,E01001859,5420,47.8,0.00012598791851454197,1682.56,0.053
18233,Hackney,Violence Against the Person,E01001765,5583,57.7,0.00010751010783156306,2175.29,0.053
3016,Barnet,Violence Against the Person,E01000152,5362,56.4,0.00010563435702532383,2188.32,0.058
6265,Brent,Violence Against the Person,E01000604,5208,51.5,0.00010112621228839214,1905.5,0.055
41654,Sutton,Violence Against the Person,E01004148,5391,56.1,9.60962530821672e-05,2283.27,0.057
40476,Southwark,Violence Against the Person,E01004016,5120,59.3,9.593404649424376e-05,2217.82,0.056
37747,Redbridge,Violence Against the Person,E01003703,5272,47.5,9.249122905674855e-05,1933.25,0.058
27934,Islington,Violence Against the Person,E01035651,4683,63.3,9.247630364076433e-05,2728.23,0.066
40393,Southwark,Violence Against the Person,E01003916,7227,60.5,9.188810858528058e-05,2123.55,0.051
19366,Hammersmith and Fulham,Violence Against the Person,E01001891,5090,64.4,8.781918872106545e-05,2427.88,0.057
25166,Hillingdon,Violence Against the Person,E01002486,6633,63.0,8.773809266862252e-05,2545.2,0.057
36104,Newham,Violence Against the Person,E01003489,5974,69.1,8.645441703829818e-05,2764.0,0.059
29774,Kingston upon Thames,Violence Against the Person,E01002974,4084,59.6,8.565435947712811e-05,2646.24,0.067
44740,Waltham Forest,Violence Against the Person,E01004445,4146,62.1,8.34541053327674e-05,2813.13,0.068
41698,Sutton,Violence Against the Person,E01004193,5832,50.1,8.314798953565922e-05,1998.99,0.058
36235,Newham,Violence Against the Person,E01003632,4876,59.2,8.236486664016165e-05,2504.16,0.064
3059,Barnet,Violence Against the Person,E01000196,6435,60.2,8.222591471396564e-05,2787.26,0.059
6271,Brent,Violence Against the Person,E01000610,4410,60.2,8.139535073012443e-05,2600.64,0.064
33259,Lewisham,Violence Against the Person,E01003339,5031,56.7,8.066377901092978e-05,2591.19,0.068
20747,Haringey,Violence Against the Person,E01001995,5348,66.3,8.066364887823483e-05,2784.6,0.062
13330,Ealing,Violence Against the Person,E01001205,3512,62.8,7.989081162992914e-05,2901.36,0.07
1104,Barking and Dagenham,Violence Against the Person,E01000099,5522,62.9,7.98092240308766e-05,2761.31,0.063
33223,Lewisham,Violence Against the Person,E01003301,5238,54.7,7.979890038711244e-05,2270.05,0.061
25113,Hillingdon,Violence Against the Person,E01002433,4978,62.4,7.977563899289637e-05,2832.96,0.064
8030,Bromley,Violence Against the Person,E01000718,4130,64.8,7.966821058347564e-05,3006.72,0.07
1077,Barking and Dagenham,Violence Against the Person,E01000071,5190,65.5,7.9236640543931e-05,2980.25,0.062
11501,Croydon,Violence Against the Person,E01001090,4544,64.2,7.864312919752787e-05,2818.38,0.064
6226,Brent,Violence Against the Person,E01000561,3842,61.2,7.847222118682487e-05,2772.36,0.066
6275,Brent,Violence Against the Person,E01000615,9600,61.5,7.804878048780487e-05,2570.7,0.053
13484,Ealing,Violence Against the Person,E01001363,4058,66.5,7.627819757060043e-05,3198.65,0.074
44718,Waltham Forest,Violence Against the Person,E01004421,4354,64.7,7.477245433627521e-05,2982.67,0.068
44699,Waltham Forest,Violence Against the Person,E01004402,3718,71.7,7.407850232232401e-05,3334.05,0.071
22071,Harrow,Violence Against the Person,E01002118,5829,66.6,7.293543310555354e-05,2877.12,0.063
11547,Croydon,Violence Against the Person,E01001137,6489,59.6,7.258389446127544e-05,2574.72,0.06
6149,Brent,Violence Against the Person,E01000478,5000,63.8,7.124536905101169e-05,3043.26,0.067
8057,Bromley,Violence Against the Person,E01000746,4042,71.0,7.116197326174248e-05,3457.7,0.075
8112,Bromley,Violence Against the Person,E01000802,3712,65.9,7.040971271006562e-05,3229.1,0.074
13446,Ealing,Violence Against the Person,E01001325,4004,63.2,7.039381255282175e-05,2862.96,0.067
47680,Westminster,Violence Against the Person,E01004720,4578,72.3,7.035500431627952e-05,3434.25,0.072
43336,Tower Hamlets,Violence Against the Person,E01035691,3802,67.9,6.999263747446406e-05,3490.06,0.077
19358,Hammersmith and Fulham,Violence Against the Person,E01001883,3762,67.5,6.9666666597e-05,3138.75,0.068
37798,Redbridge,Violence Against the Person,E01003756,4998,65.3,6.958095357774478e-05,2977.68,0.062
36140,Newham,Violence Against the Person,E01003529,4854,63.7,6.927358403581943e-05,2777.32,0.066
36121,Newham,Violence Against the Person,E01003509,4144,66.6,6.913580110349034e-05,3096.9,0.066
37784,Redbridge,Violence Against the Person,E01003742,4796,69.5,6.900719282672991e-05,3377.7,0.067
38814,Richmond upon Thames,Violence Against the Person,E01003839,4512,65.4,6.899082497917684e-05,3263.46,0.07
40479,Southwark,Violence Against the Person,E01004019,4222,68.0,6.898692697733779e-05,3250.4,0.073
37780,Redbridge,Violence Against the Person,E01003738,4762,62.8,6.893456799740254e-05,3234.2,0.071
20726,Haringey,Violence Against the Person,E01001974,4408,71.3,6.869253311478117e-05,3593.52,0.068
26615,Hounslow,Violence Against the Person,E01002622,3814,69.6,6.849856488656707e-05,3466.08,0.07
6240,Brent,Violence Against the Person,E01000575,4282,69.6,6.835887699490001e-05,3111.12,0.067
33167,Lewisham,Violence Against the Person,E01003240,5994,67.7,6.810589867912696e-05,2951.72,0.064
6259,Brent,Violence Against the Person,E01000595,5367,71.7,6.804868556818712e-05,3498.96,0.072
31461,Lambeth,Violence Against the Person,E01003077,3650,67.2,6.789434580640728e-05,3091.2,0.07
44637,Waltham Forest,Violence Against the Person,E01004340,5652,69.4,6.78674361657559e-05,2706.6,0.059
13432,Ealing,Violence Against the Person,E01001311,5024,67.8,6.736390554367893e-05,3179.82,0.067
36195,Newham,Violence Against the Person,E01003584,3864,63.9,6.718831675797558e-05,3041.64,0.072
34367,Merton,Violence Against the Person,E01003370,3988,66.4,6.673360046793601e-05,3180.56,0.069
31476,Lambeth,Violence Against the Person,E01003092,4666,70.2,6.646723836467729e-05,3348.54,0.071
6285,Brent,Violence Against the Person,E01000625,3394,73.0,6.641878732445265e-05,3796.0,0.076
6187,Brent,Violence Against the Person,E01000519,3912,65.6,6.626016058149917e-05,2984.8,0.068
3176,Barnet,Violence Against the Person,E01000314,4340,65.5,6.625954153963057e-05,3216.05,0.068
36158,Newham,Violence Against the Person,E01003547,3970,66.7,6.613359899640941e-05,3328.33,0.077
19403,Hammersmith and Fulham,Violence Against the Person,E01001928,3630,68.7,6.60480343576591e-05,3187.68,0.071
37703,Redbridge,Violence Against the Person,E01003657,4308,54.6,6.575091423358696e-05,2424.24,0.064
33203,Lewisham,Violence Against the Person,E01003278,6330,64.4,6.552794819412838e-05,2563.12,0.059
44644,Waltham Forest,Violence Against the Person,E01004347,4346,66.5,6.535338174668284e-05,3185.35,0.074
44701,Waltham Forest,Violence Against the Person,E01004404,5722,67.6,6.511151714653204e-05,2839.2,0.063
20820,Haringey,Violence Against the Person,E01002070,5148,66.0,6.500000162500004e-05,2937.0,0.065
13479,Ealing,Violence Against the Person,E01001358,3918,67.1,6.487829221649938e-05,3187.25,0.072
34375,Merton,Violence Against the Person,E01003378,4498,69.8,6.444126075975731e-05,3545.84,0.072
8053,Bromley,Violence Against the Person,E01000742,4192,72.3,6.44229277592211e-05,3390.87,0.071
13486,Ealing,Violence Against the Person,E01001365,5176,73.5,6.401978979742218e-05,3417.75,0.067
40426,Southwark,Violence Against the Person,E01003953,3992,78.0,6.397435703052273e-05,3775.2,0.073
36144,Newham,Violence Against the Person,E01003533,4750,61.9,6.394722563362908e-05,2773.12,0.064
41645,Sutton,Violence Against the Person,E01004138,3588,70.2,6.388888853395062e-05,3390.66,0.074
44688,Waltham Forest,Violence Against the Person,E01004391,4648,66.2,6.382861659005318e-05,3071.68,0.069
20828,Haringey,Violence Against the Person,E01002078,5046,72.4,6.336012157033246e-05,3142.16,0.063
26691,Hounslow,Violence Against the Person,E01034037,3686,72.8,6.328983338698202e-05,3698.24,0.07
43238,Tower Hamlets,Violence Against the Person,E01004271,4938,65.5,6.282442927932527e-05,2626.55,0.058
31569,Lambeth,Violence Against the Person,E01003187,4588,66.7,6.253236831715017e-05,3368.35,0.071
6292,Brent,Violence Against the Person,E01000632,4998,80.0,6.247499828662316e-05,3504.0,0.065
15221,Enfield,Violence Against the Person,E01001508,7377,62.4,6.222165918534177e-05,2758.08,0.055
26628,Hounslow,Violence Against the Person,E01002635,4040,65.1,6.205837322290418e-05,3326.61,0.071
44756,Waltham Forest,Violence Against the Person,E01004462,4732,76.3,6.201834998939486e-05,3380.09,0.067
13444,Ealing,Violence Against the Person,E01001323,6042,81.5,6.177914166902405e-05,3618.6,0.062
13374,Ealing,Violence Against the Person,E01001252,7428,80.6,6.14392060285132e-05,3643.12,0.065
23495,Havering,Violence Against the Person,E01002247,4990,74.3,6.105469047164626e-05,3975.05,0.074
