,Borough,Major Category,LSOA,Population,Mean,Range,Normalised Deviation,Regression
47694,Westminster,Violence Against the Person,E01004734,3398,2333.2,1.1377882307525382e-07,1579809.72,0.984
47696,Westminster,Violence Against the Person,E01004736,3094,1399.7,2.125455454550488e-07,737221.99,0.732
47733,Westminster,Violence Against the Person,E01035716,4402,1226.2,4.0336547190890873e-07,488395.46,0.589
36268,Newham,Violence Against the Person,E01034220,2376,733.1,7.716741043266256e-07,332680.78,0.516
9305,Camden,Violence Against the Person,E01000863,2958,956.3,6.312595101217886e-07,311371.28,0.492
11617,Croydon,Violence Against the Person,E01034150,2624,1011.3,6.177809798217127e-07,329178.15,0.484
13461,Ealing,Violence Against the Person,E01001340,3126,573.0,1.0491341114817693e-06,189892.2,0.477
47693,Westminster,Violence Against the Person,E01004733,4232,384.9,1.0674819085781465e-06,113545.5,0.402
16873,Greenwich,Violence Against the Person,E01034188,2836,474.2,1.5738418172824106e-06,130594.68,0.397
18317,Hackney,Violence Against the Person,E01033708,3766,620.6,1.1237631445633869e-06,170416.76,0.386
41706,Sutton,Violence Against the Person,E01034156,2706,691.7,1.222531443756296e-06,170296.54,0.381
31431,Lambeth,Violence Against the Person,E01003047,3596,811.2,8.524882418705078e-07,247010.4,0.381
23602,Havering,Violence Against the Person,E01002356,4214,736.3,1.0040720432896505e-06,181718.84,0.374
47718,Westminster,Violence Against the Person,E01004763,6093,780.4,9.759418248261154e-07,209147.2,0.366
18316,Hackney,Violence Against the Person,E01033706,2854,493.8,1.3441088099308177e-06,117425.64,0.35
6322,Brent,Violence Against the Person,E01033942,3198,287.3,2.2716779020978246e-06,80760.03,0.343
6318,Brent,Violence Against the Person,E01033938,2554,515.7,1.1791647049099998e-06,153317.61,0.336
8080,Bromley,Violence Against the Person,E01000769,2760,528.3,1.6852594743876244e-06,126210.87,0.321
36248,Newham,Violence Against the Person,E01034200,3146,550.7,1.7311300758449808e-06,123026.38,0.319
18207,Hackney,Violence Against the Person,E01001735,3190,198.6,5.3541456828773775e-06,37813.44,0.295
18310,Hackney,Violence Against the Person,E01033699,2818,446.3,2.177289129068846e-06,95731.35,0.284
40559,Southwark,Violence Against the Person,E01033884,2166,370.7,2.921499868233052e-06,71989.94,0.28
47716,Westminster,Violence Against the Person,E01004761,3651,483.5,2.0975525679028266e-06,94572.6,0.28
9354,Camden,Violence Against the Person,E01000914,2804,425.2,2.2739806029772925e-06,83041.56,0.275
33215,Lewisham,Violence Against the Person,E01003291,3070,477.1,1.4299354889751916e-06,114074.61,0.272
46500,Wandsworth,Violence Against the Person,E01004626,3708,374.5,2.7503337784446017e-06,83251.35,0.27
47723,Westminster,Violence Against the Person,E01033594,3028,456.9,2.1378292692390114e-06,105589.59,0.265
47695,Westminster,Violence Against the Person,E01004735,4088,496.6,2.110763447498203e-06,94205.02,0.265
18201,Hackney,Violence Against the Person,E01001729,4000,344.3,2.833603706353648e-06,73611.34,0.264
1125,Barking and Dagenham,Violence Against the Person,E01034473,2588,539.1,2.1820879894599565e-06,102968.1,0.264
13458,Ealing,Violence Against the Person,E01001337,4210,255.1,3.5113472381326244e-06,42984.35,0.262
40549,Southwark,Violence Against the Person,E01033874,2286,345.8,3.479346135109607e-06,58613.1,0.261
29768,Kingston upon Thames,Violence Against the Person,E01002968,5874,658.4,1.652153369450155e-06,109755.28,0.26
11612,Croydon,Violence Against the Person,E01034145,2660,438.7,2.0211230153370333e-06,81685.94,0.252
43277,Tower Hamlets,Violence Against the Person,E01004322,2752,308.7,2.547086861352164e-06,55843.83,0.251
15183,Enfield,Violence Against the Person,E01001468,2774,364.1,2.3808706377271524e-06,91826.02,0.245
13517,Ealing,Violence Against the Person,E01034030,3668,466.7,2.710151245762892e-06,74531.99,0.245
9359,Camden,Violence Against the Person,E01000919,2918,389.5,2.8814061409495827e-06,61696.8,0.244
8157,Bromley,Violence Against the Person,E01034386,2448,432.3,2.177974696407588e-06,89356.41,0.243
19365,Hammersmith and Fulham,Violence Against the Person,E01001890,3364,332.6,2.9747798108143567e-06,60632.98,0.242
27831,Islington,Violence Against the Person,E01002712,2740,336.0,3.39781746427821e-06,65184.0,0.239
16872,Greenwich,Violence Against the Person,E01034187,2518,371.2,2.8264188204875465e-06,69377.28,0.239
