,Borough,LSOA,Major Category,Population,Mean,Standard Deviation,Normalised Deviation
23727,Hillingdon,E01002400,Violence Against the Person,5985,49.1,1.0017,1556.47
38946,Southwark,E01003916,Violence Against the Person,7227,60.5,1.00153,2123.55
18723,Hammersmith and Fulham,E01001891,Violence Against the Person,5090,64.4,1.0013,2427.88
43489,Waltham Forest,E01004340,Violence Against the Person,5652,69.4,1.00126,2706.6
44474,Waltham Forest,E01004444,Violence Against the Person,8355,71.8,1.00123,2857.64
39752,Southwark,E01004016,Violence Against the Person,5120,59.3,1.00123,2217.82
18422,Hammersmith and Fulham,E01001859,Violence Against the Person,5420,47.8,1.0012,1682.56
17342,Hackney,E01001765,Violence Against the Person,5583,57.7,1.00117,2175.29
34575,Newham,E01003489,Violence Against the Person,5974,69.1,1.00117,2764.0
12122,Ealing,E01001249,Violence Against the Person,7224,109.2,1.00115,5099.64
46997,Westminster,E01004702,Violence Against the Person,8493,79.2,1.00115,3326.4
5762,Brent,E01000604,Violence Against the Person,5208,51.5,1.0011,1905.5
32421,Lewisham,E01003278,Violence Against the Person,6330,64.4,1.0011,2563.12
42261,Tower Hamlets,E01004271,Violence Against the Person,4938,65.5,1.00109,2626.55
1466,Barnet,E01000152,Violence Against the Person,5362,56.4,1.00104,2188.32
24496,Hillingdon,E01002486,Violence Against the Person,6633,63.0,1.00103,2545.2
6024,Brent,E01000632,Violence Against the Person,4998,80.0,1.00102,3504.0
5294,Brent,E01000551,Violence Against the Person,5790,73.3,1.00102,3122.58
12810,Ealing,E01001323,Violence Against the Person,6042,81.5,1.001,3618.6
44104,Waltham Forest,E01004404,Violence Against the Person,5722,67.6,1.00098,2839.2
19759,Haringey,E01001995,Violence Against the Person,5348,66.3,1.00096,2784.6
20542,Haringey,E01002078,Violence Against the Person,5046,72.4,1.00095,3142.16
44643,Waltham Forest,E01004462,Violence Against the Person,4732,76.3,1.00094,3380.09
42356,Tower Hamlets,E01004287,Violence Against the Person,4664,80.3,1.00094,3621.53
12152,Ealing,E01001252,Violence Against the Person,7428,80.6,1.00093,3643.12
5799,Brent,E01000608,Violence Against the Person,6990,91.4,1.00092,4323.22
44513,Waltham Forest,E01004448,Violence Against the Person,3874,82.0,1.00091,3755.6
41214,Sutton,E01004148,Violence Against the Person,5391,56.1,1.0009,2283.27
5856,Brent,E01000615,Violence Against the Person,9600,61.5,1.0009,2570.7
20971,Harrow,E01002118,Violence Against the Person,5829,66.6,1.00089,2877.12
31490,Lambeth,E01003186,Violence Against the Person,4914,109.1,1.00089,5531.37
32068,Lewisham,E01003240,Violence Against the Person,5994,67.7,1.00088,2951.72
27356,Islington,E01002765,Violence Against the Person,5754,105.5,1.00085,5369.95
41633,Sutton,E01004193,Violence Against the Person,5832,50.1,1.00085,1998.99
27889,Islington,E01035651,Violence Against the Person,4683,63.3,1.00085,2728.23
35854,Newham,E01003632,Violence Against the Person,4876,59.2,1.00084,2504.16
5520,Brent,E01000575,Violence Against the Person,4282,69.6,1.00083,3111.12
15905,Greenwich,E01001644,Violence Against the Person,5310,78.2,1.00083,3636.3
32617,Lewisham,E01003301,Violence Against the Person,5238,54.7,1.00082,2270.05
34927,Newham,E01003529,Violence Against the Person,4854,63.7,1.00082,2777.32
39861,Southwark,E01004031,Violence Against the Person,7830,93.4,1.00082,4632.64
5539,Brent,E01000577,Violence Against the Person,5046,80.9,1.00081,3834.66
16486,Greenwich,E01033727,Violence Against the Person,5412,80.6,1.00081,3812.38
35492,Newham,E01003587,Violence Against the Person,4988,80.7,1.00081,3825.18
10477,Croydon,E01001090,Violence Against the Person,4544,64.2,1.00081,2818.38
20462,Haringey,E01002070,Violence Against the Person,5148,66.0,1.0008,2937.0
44122,Waltham Forest,E01004406,Violence Against the Person,3714,86.3,1.0008,4194.18
5817,Brent,E01000610,Violence Against the Person,4410,60.2,1.0008,2600.64
20181,Haringey,E01002041,Violence Against the Person,5607,72.9,1.0008,3346.11
44142,Waltham Forest,E01004408,Violence Against the Person,3432,71.6,1.0008,3272.12
10908,Croydon,E01001137,Violence Against the Person,6489,59.6,1.00079,2574.72
861,Barking and Dagenham,E01000099,Violence Against the Person,5522,62.9,1.00079,2761.31
16979,Hackney,E01001724,Violence Against the Person,5712,79.6,1.00079,3781.0
14647,Enfield,E01001508,Violence Against the Person,7377,62.4,1.00078,2758.08
30271,Lambeth,E01003059,Violence Against the Person,4470,89.2,1.00078,4424.32
13214,Ealing,E01001365,Violence Against the Person,5176,73.5,1.00078,3417.75
36562,Redbridge,E01003666,Violence Against the Person,5732,83.5,1.00077,4066.45
5974,Brent,E01000627,Violence Against the Person,6252,90.5,1.00077,4525.0
36890,Redbridge,E01003703,Violence Against the Person,5272,47.5,1.00076,1933.25
16358,Greenwich,E01001697,Violence Against the Person,5288,98.4,1.00076,5067.6
21982,Harrow,E01002232,Violence Against the Person,4350,82.1,1.00076,3998.27
12072,Ealing,E01001244,Violence Against the Person,5630,71.0,1.00076,3294.4
31293,Lambeth,E01003166,Violence Against the Person,5114,112.3,1.00076,6064.2
30192,Lambeth,E01003051,Violence Against the Person,6237,103.9,1.00076,5454.75
44084,Waltham Forest,E01004402,Violence Against the Person,3718,71.7,1.00076,3334.05
7205,Bromley,E01000742,Violence Against the Person,4192,72.3,1.00075,3390.87
5015,Brent,E01000519,Violence Against the Person,3912,65.6,1.00075,2984.8
26239,Hounslow,E01002663,Violence Against the Person,4378,68.7,1.00075,3173.94
8421,Camden,E01000872,Violence Against the Person,5244,79.6,1.00075,3844.68
13282,Ealing,E01001372,Violence Against the Person,5120,82.6,1.00075,4047.4
30836,Lambeth,E01003119,Violence Against the Person,4136,88.7,1.00075,4435.0
37381,Redbridge,E01003756,Violence Against the Person,4998,65.3,1.00074,2977.68
24818,Hillingdon,E01002526,Violence Against the Person,5902,90.3,1.00074,4578.21
19073,Hammersmith and Fulham,E01001928,Violence Against the Person,3630,68.7,1.00074,3187.68
30446,Lambeth,E01003077,Violence Against the Person,3650,67.2,1.00074,3091.2
34966,Newham,E01003533,Violence Against the Person,4750,61.9,1.00074,2773.12
39643,Southwark,E01004004,Violence Against the Person,5224,90.2,1.00074,4564.12
594,Barking and Dagenham,E01000071,Violence Against the Person,5190,65.5,1.00074,2980.25
41993,Tower Hamlets,E01004233,Violence Against the Person,4424,66.6,1.00074,3050.28
2908,Barnet,E01000308,Violence Against the Person,4216,72.0,1.00073,3405.6
12829,Ealing,E01001325,Violence Against the Person,4004,63.2,1.00073,2862.96
39269,Southwark,E01003953,Violence Against the Person,3992,78.0,1.00073,3775.2
41962,Tower Hamlets,E01004230,Violence Against the Person,4476,80.4,1.00073,3931.56
19554,Haringey,E01001973,Violence Against the Person,5028,69.3,1.00073,3236.31
35366,Newham,E01003574,Violence Against the Person,5192,97.1,1.00073,5049.2
29452,Kingston upon Thames,E01002974,Violence Against the Person,4084,59.6,1.00073,2646.24
47180,Westminster,E01004722,Violence Against the Person,5448,73.7,1.00073,3500.75
35035,Newham,E01003540,Violence Against the Person,4108,87.5,1.00073,4410.0
45420,Wandsworth,E01004540,Violence Against the Person,4510,95.5,1.00072,4975.55
44483,Waltham Forest,E01004445,Violence Against the Person,4146,62.1,1.00072,2813.13
17037,Hackney,E01001730,Violence Against the Person,5576,108.1,1.00072,5859.02
47160,Westminster,E01004720,Violence Against the Person,4578,72.3,1.00072,3434.25
46623,Westminster,E01004654,Violence Against the Person,4950,71.5,1.00072,3389.1
2312,Barnet,E01000243,Violence Against the Person,4304,72.4,1.00072,3439.0
26209,Hounslow,E01002660,Violence Against the Person,4196,77.7,1.00072,3768.45
35123,Newham,E01003549,Violence Against the Person,4274,74.2,1.00072,3554.18
4911,Brent,E01000508,Violence Against the Person,5316,128.7,1.00072,7361.64
26417,Hounslow,E01002682,Violence Against the Person,4666,84.0,1.00072,4183.2
4603,Brent,E01000473,Violence Against the Person,5356,104.0,1.00071,5595.2
19230,Hammersmith and Fulham,E01001946,Violence Against the Person,3784,69.3,1.00071,3264.03
43977,Waltham Forest,E01004391,Violence Against the Person,4648,66.2,1.00071,3071.68
18645,Hammersmith and Fulham,E01001883,Violence Against the Person,3762,67.5,1.00071,3138.75
5391,Brent,E01000561,Violence Against the Person,3842,61.2,1.00071,2772.36
24012,Hillingdon,E01002433,Violence Against the Person,4978,62.4,1.00071,2832.96
34742,Newham,E01003509,Violence Against the Person,4144,66.6,1.00071,3096.9
35055,Newham,E01003542,Violence Against the Person,4448,82.4,1.00071,4095.28
34683,Newham,E01003501,Violence Against the Person,4738,86.4,1.00071,4363.2
11075,Croydon,E01001154,Violence Against the Person,5766,95.9,1.00071,5015.57
