,Major Category,LSOA,Borough,Mean,Standard Deviation,Normalised Deviation
45571,Violence Against the Person,E01002968,Kingston upon Thames,658.4,165.7,3.97
47228,Violence Against the Person,E01004734,Westminster,2333.2,676.1,3.45
47506,Violence Against the Person,E01034150,Croydon,1011.3,324.5,3.12
47733,Violence Against the Person,E01035716,Westminster,1226.2,397.3,3.09
44993,Violence Against the Person,E01002356,Havering,736.3,245.8,3.0
46911,Violence Against the Person,E01004397,Waltham Forest,259.6,86.6,3.0
43574,Violence Against the Person,E01000863,Camden,956.3,324.6,2.95
47478,Violence Against the Person,E01034030,Ealing,466.7,158.7,2.94
43653,Violence Against the Person,E01000947,Camden,382.6,130.8,2.93
47252,Violence Against the Person,E01004763,Westminster,780.4,267.0,2.92
46828,Violence Against the Person,E01004309,Tower Hamlets,230.2,80.6,2.86
47588,Violence Against the Person,E01034473,Barking and Dagenham,539.1,190.0,2.84
47512,Violence Against the Person,E01034156,Sutton,691.7,245.2,2.82
47484,Violence Against the Person,E01034036,Hounslow,266.6,95.3,2.8
44589,Violence Against the Person,E01001941,Hammersmith and Fulham,398.4,143.1,2.78
44055,Violence Against the Person,E01001361,Ealing,380.9,139.2,2.74
47728,Violence Against the Person,E01035711,Camden,334.1,122.9,2.72
44591,Violence Against the Person,E01001943,Hammersmith and Fulham,484.3,180.2,2.69
46616,Violence Against the Person,E01004067,Southwark,334.8,124.3,2.69
45896,Violence Against the Person,E01003303,Lewisham,314.9,116.9,2.69
46196,Violence Against the Person,E01003619,Newham,198.3,73.6,2.69
44122,Violence Against the Person,E01001429,Enfield,326.0,121.6,2.68
45649,Violence Against the Person,E01003047,Lambeth,811.2,303.5,2.67
47230,Violence Against the Person,E01004736,Westminster,1399.7,525.7,2.66
46491,Violence Against the Person,E01003921,Southwark,306.8,115.6,2.65
44045,Violence Against the Person,E01001351,Ealing,298.7,112.8,2.65
47229,Violence Against the Person,E01004735,Westminster,496.6,188.7,2.63
46753,Violence Against the Person,E01004208,Tower Hamlets,276.1,104.8,2.63
47361,Violence Against the Person,E01033589,Redbridge,331.3,126.9,2.61
43252,Violence Against the Person,E01000524,Brent,251.7,96.9,2.6
45909,Violence Against the Person,E01003318,Lewisham,245.1,94.5,2.59
44678,Violence Against the Person,E01002031,Haringey,230.8,89.3,2.58
47162,Violence Against the Person,E01004658,Westminster,327.9,128.3,2.56
46611,Violence Against the Person,E01004062,Southwark,220.7,86.4,2.55
45150,Violence Against the Person,E01002521,Hillingdon,319.9,125.5,2.55
