,DataOriginal,DataLog,Linear,DataLinear,MonthlyAverage,DataSeasons,DataRolled,DataNormalised,ConfLowerNormalised,ConfUpperNormalised,ModelledNormalised,ResidualsNormalised,ModelledSeasons,ResidualsSeasons,ModelledLinear,ResidualsLinear,ModelledLog,ResidualsLog,ModelledOriginal,ResidualsOriginal,ConfLowerSeasons,ConfUpperSeasons,ConfLowerLinear,ConfUpperLinear,ConfLowerLog,ConfUpperLog,ConfLowerOriginal,ConfUpperOriginal,Purpose
2010-04-01,2704.53,7.903053283691406,7.414959636389041,0.4880936473023656,0.029384742817196125,0.4587089044851695,0.0818090511830859,0.34225008723320355,0.0,0.0,0.34225008723320355,0.0,0.0818090511830859,0.3768998533020836,0.11119379400028202,0.3768998533020836,7.526153430389322,0.376899853302084,1932.9721553050351,771.5578739918399,0.0012264137477177087,0.0012264137477177087,0.030611156564913835,0.030611156564913835,7.445570792953954,7.445570792953954,1783.2414412574421,1783.2414412574421,Train
2010-05-01,2366.4639,7.7695746421813965,7.4154057678577665,0.35416887432363,0.03449165821075425,0.31967721611287575,0.10400160034909438,0.43650614697169865,0.0,0.0,0.43650614697169865,0.0,0.10400160034909438,0.21567561576378136,0.13849325855984862,0.21567561576378136,7.553899026417615,0.21567561576378136,1987.382701499471,379.08116568802893,0.0012264137477177087,0.0012264137477177087,0.03571807195847196,0.03571807195847196,7.451123839816239,7.451123839816239,1793.176978314537,1793.176978314537,Train
2010-06-01,1555.1049,7.349941253662109,7.415851899326493,-0.06591064566438387,0.04583206709135249,-0.11174271275573636,0.0989772096154576,0.4151665852297527,-0.29999920833830696,0.300000791661693,7.916616930067288e-07,0.41516579356805966,0.00122660014412653,-0.11296931289986288,0.047058667235479024,-0.1129693128998629,7.462910566561972,-0.112969312899863,1814.4495729440046,-259.34471454556706,-0.06940827222666751,0.07186147251492057,-0.02357620513531502,0.11769353960627307,7.392275694191178,7.533545438932767,1690.6396459005882,1947.3210622838844,Train
2010-07-01,1419.8783,7.259030342102051,7.416298030795219,-0.15726768869316832,-2.9796163225303086e-05,-0.15723789252994302,0.06229308592675615,0.2593619983843341,-0.29999908837279043,0.30000091162720954,9.116272095762516e-07,0.25936108675712455,0.0012266283899563693,-0.1584645209198994,0.001196832226731066,-0.15846452091989938,7.41749486302195,-0.1584645209198996,1733.8438894637413,-313.96559356530383,-0.06940824398083768,0.0718615007607504,-0.06943804014406299,0.0718317045975251,7.346859990651156,7.488129735392744,1615.5311042521375,1860.8159049912388,Train
2010-08-01,2231.2373,7.71075963973999,7.416744162263946,0.2940154774760444,0.1440012230250086,0.1500142544510358,0.06160951759713292,0.2564587511354333,-0.2999989857235273,0.3000010142764727,1.0142764726754185e-06,0.2564577368589606,0.0012266525586816957,0.1487876018923541,0.1452278755836903,0.1487876018923541,7.561972037847636,0.14878760189235418,2003.499907435319,227.73739725218093,-0.06940821981211234,0.07186152492947574,0.07459300321289625,0.21586274795448435,7.491337165476842,7.63260691021843,1866.7971363990252,2150.2078590369015,Train
2010-09-01,1555.1049,7.349941253662109,7.417190293732672,-0.06724904007056232,0.10131642259432395,-0.16856546266488626,0.07581168626564735,0.3167781154600161,-0.2999988546008746,0.30000114539912537,1.1453991254035906e-06,0.31677697006089073,0.001226683431454497,-0.16979214609634075,0.10254310602577846,-0.16979214609634077,7.51973339975845,-0.16979214609634052,1920.5957657383433,-365.4909073399058,-0.06940818893933956,0.07186155580224853,0.031908233654984394,0.17317797839657248,7.449098527387656,7.590368272129244,1789.5468866570088,2061.2360209721005,Train
2010-10-01,2434.0771,7.797733783721924,7.417636425201398,0.3800973585205254,0.14294046317538012,0.23715689534514528,0.03176127006880763,0.12968745591044092,-0.29999887436759104,0.30000112563240894,1.1256324089424013e-06,0.12968633027803197,0.0012266787773895155,0.23593021656775576,0.14416714195276964,0.23593021656775576,7.561803567154168,0.23593021656775548,2003.1622363904937,430.9149120470063,-0.06940819359340453,0.07186155114818356,0.07353226958197559,0.21480201432356366,7.491168694783374,7.632438439524962,1866.4824938249699,2149.8454740835737,Train
2010-11-01,1690.3313,7.433271408081055,7.418082556670124,0.015188851410930404,-0.048617623069069686,0.0638064744800001,-0.019065959287502734,-0.08618564324161315,-0.2999990560592116,0.30000094394078836,9.439407883796496e-07,-0.08618658718240153,0.0012266359981747514,0.06257983848182534,-0.04739098707089494,0.06257983848182534,7.370691569599229,0.06257983848182569,1654.5183110378246,35.81298779030044,-0.0694082363726193,0.07186150836896879,-0.11802585944168897,0.023243885299899104,7.3000566972284355,7.441326441970023,1541.6153671261172,1775.6845427499643,Train
2010-12-01,1284.6517,7.159020900726318,7.418528688138851,-0.25950778741253266,-0.028327883829677235,-0.23117990358285542,-0.0006088543165776602,-0.007794739351950234,-0.2999991780944366,0.3000008219055634,8.21905563402661e-07,-0.007795561257513637,0.001226607265032948,-0.23240651084788838,-0.027101276564644287,-0.23240651084788838,7.391427411574207,-0.23240651084788855,1689.2052658606317,-404.5535324621942,-0.0694082651057611,0.07186147963582698,-0.09773614893543833,0.043533595806149745,7.3207925392034126,7.462062283945,1573.9367429705956,1812.910211628318,Train
2011-01-01,1419.8783,7.259030342102051,7.418974819607577,-0.1599444775055261,-0.21540188013604997,0.05545740263052387,0.014179298258091987,0.055013412252147044,-0.2999992546833152,0.3000007453166848,7.453166847875318e-07,0.05501266693546226,0.0012265892322140613,0.05423081339830981,-0.2141752909038359,0.05423081339830982,7.204799528703741,0.05423081339831004,1401.451950280245,18.4263456181925,-0.06940828313857998,0.0718614616030081,-0.28481016327462993,-0.14354041853304186,7.134164656332947,7.275434401074535,1305.807611691146,1504.096431371047,Train
2011-02-01,1825.5579,7.510188579559326,7.419420951076304,0.09076762848302256,-0.12706574446776903,0.21783337295079158,0.018166405943862488,0.07194743174682548,-0.29999932159075005,0.30000067840924993,6.784092499199191e-07,0.07194675333757557,0.0012265734788869862,0.2166067994719046,-0.12583917098888203,0.2166067994719046,7.293581780087422,0.2166067994719043,1531.6593274928775,293.89853383524746,-0.06940829889190706,0.07186144584968103,-0.19647404335967608,-0.055204298618087996,7.2229469077166275,7.364216652458215,1427.1351135751179,1643.8335958006408,Train
2011-03-01,1487.4916,7.305518627166748,7.4198670825450295,-0.11434845537828142,-0.08850278169821403,-0.02584567368006739,0.009801417481859243,0.0364197036661757,-1.3444042898150064,2.028905633919759,0.3422506720523763,-0.3058309683862006,0.08180918887851132,-0.10765486255857872,-0.006693592819702707,-0.10765486255857872,7.4131734897253265,-0.10765486255857848,1726.3631565671212,-238.87157941868372,-0.31531300433838555,0.4789313820954082,-0.40381578603659957,0.3904286003971942,7.01605129650843,7.810295682942224,1160.2231225258608,2568.517792735032,Train
2011-04-01,1352.265,7.210275650024414,7.420313214013756,-0.21003756398934215,0.029384742817196125,-0.23942230680653828,0.027147638340681065,0.11009246731653136,-0.24478504867586814,0.6709162452745526,0.21306559829934224,-0.10297313098281088,0.051392618222654084,-0.2908149250291924,0.08077736103985021,-0.2908149250291924,7.501090575053606,-0.29081492502919204,1885.103657251346,-532.8386426029085,-0.056408121823944134,0.1591933582692523,-0.02702337900674801,0.18857810108644843,7.393289835007008,7.6088913151002044,1692.3560769154371,2099.790881724607,Train
2011-05-01,1893.171,7.546536445617676,7.420759345482482,0.12577710013519372,0.03449165821075425,0.09128544192443946,0.06469578657371994,0.2695667339476021,-0.11969114577664397,0.6942009881390679,0.287254921181212,-0.017688187233609876,0.06886046273277574,0.022424979191663724,0.10335212094353,0.022424979191663724,7.524111466426012,0.022424979191663752,1929.0270830763054,-35.856062568492916,-0.026954815605106795,0.16467574107065827,0.007536842605647454,0.19916739928141253,7.4282961880881295,7.6199267447638945,1752.684068530996,2123.102401482353,Train
2011-06-01,1757.9446,7.472469329833984,7.421205476951209,0.051263852882775574,0.04583206709135249,0.005431785791423081,0.09102604115900538,0.3813964309578812,-0.11768961750952095,0.6918786281661842,0.2870945053283316,0.09430192562954964,0.06882269288846088,-0.06339090709703779,0.11465475997981336,-0.06339090709703779,7.535860236931022,-0.06339090709703754,1951.8362558431813,-193.89167576505633,-0.026483556626124224,0.16412894240304599,0.01934851046522827,0.20996100949439847,7.440553987416437,7.631166486445608,1774.3126646096039,2147.111438710562,Train
2011-07-01,2028.3976,7.615494251251221,7.421651608419935,0.19384264283128605,-2.9796163225303086e-05,0.19387243899451134,0.08941327966051825,0.3745467201379012,0.025680520684878083,0.8318381507380899,0.428759335711484,-0.05421261557358281,0.10217761693360806,0.09169482206090328,0.10214782077038276,0.09169482206090329,7.523799429190317,0.09169482206090329,1928.424936711416,99.97264629639653,0.0072728814176907085,0.19708235244952543,0.007243085254465405,0.19705255628630014,7.4288946936744,7.618704164706235,1753.73397239789,2120.5071030491936,Train
2011-08-01,1487.4916,7.305518627166748,7.422097739888661,-0.11657911272191335,0.1440012230250086,-0.26058033574692196,0.043602347980882875,0.1799788099455249,-0.2650737174992567,0.5407927861744418,0.13785953433759257,0.04211927560793233,0.03368538245782755,-0.2942657182047495,0.17768660548283613,-0.29426571820474945,7.599784345371497,-0.2942657182047492,2080.745895442665,-593.2543182942277,-0.06118508026698866,0.12855584518264374,0.08281614275801993,0.27255706820765235,7.504913882646681,7.694654808096313,1892.3286145013908,2287.913789185855,Train
2011-09-01,2839.7566,7.9518256187438965,7.422543871357387,0.5292817473865092,0.10131642259432395,0.4279653247921853,0.054566946808989304,0.22654758735004124,-0.3207773298583172,0.48399645425231397,0.08160956219699841,0.14493802515304283,0.020441350447788914,0.40752397434439636,0.12175777304211287,0.40752397434439636,7.5443016443995,0.4075239743443966,1968.3907155657985,871.3658762310765,-0.07430047209890342,0.11518317299448122,0.027015950495420535,0.21649959558880516,7.449559821852808,7.639043466946193,1790.3730465622637,2164.09888769389,Train
2011-10-01,3110.2097,8.042766571044922,7.422990002826114,0.6197765682188079,0.14294046317538012,0.47683610504342777,0.1156832259468442,0.486120276107918,0.07046559014735337,0.874378375364766,0.47242198275605973,0.013698293351858293,0.11245796860482352,0.3643781364386043,0.2553984317802036,0.3643781364386043,7.678388434606317,0.3643781364386047,2250.98264481093,859.2270719859448,0.01781750696968767,0.20709843023995936,0.1607579701450678,0.35003889341533945,7.583747972971182,7.7730288962414535,2047.6284942272555,2474.5224516403023,Train
2011-11-01,1690.3313,7.433271408081055,7.42343613429484,0.009835273786214849,-0.048617623069069686,0.058452896855284535,0.0978290693361171,0.41029021082372247,0.07617446722023002,0.8790234996806124,0.47759898345042123,-0.06730877262669877,0.11367689121585597,-0.05522399436057144,0.06505926814678628,-0.05522399436057143,7.488495402441626,-0.05522399436057146,1861.49683420788,-171.16553537975506,0.019161659647764985,0.20819212278394697,-0.0294559634213047,0.15957449971487728,7.393980170873535,7.583010634009717,1693.5254649389399,2046.1185173716897,Train
2011-12-01,1690.3313,7.433271408081055,7.423882265763567,0.009389142317488108,-0.028327883829677235,0.03771702614716534,0.07457809505566612,0.3115388143814827,-0.11285045505987401,0.6888795476888813,0.2880145463145036,0.023524268066979048,0.06903931614724142,-0.031322290000076074,0.04071143231756418,-0.031322290000076074,7.4645936980811305,-0.0313222900000758,1817.507786307345,-127.17648747921999,-0.025344177886083057,0.1634228101805659,-0.05367206171576029,0.13509492635088866,7.370210204047806,7.5589771921144555,1653.7215933247564,1997.5057197542812,Train
2012-01-01,1014.1988,6.922839641571045,7.424328397232292,-0.5014887556612475,-0.21540188013604997,-0.2860868755251975,0.0636938118698378,0.2653111530839927,-0.13977097868769323,0.6608081620201698,0.26051859166623825,0.004792561417754471,0.0625654053229302,-0.3486522808481277,-0.15283647481311977,-0.3486522808481277,7.271491922419172,-0.3486522808481274,1498.1743024202988,-483.9755109163925,-0.03168260372143624,0.15681341436729665,-0.24708448385748621,-0.05858846576875332,7.177243913374806,7.365739931463539,1363.3341159247054,1646.3410455723188,Train
2012-02-01,1622.718,7.3924736976623535,7.424774528701019,-0.032300831038665656,-0.12706574446776903,0.09476491342910337,0.07211520168506942,0.30107842864877604,-0.11704002081990073,0.6828948653239607,0.28292742225203,0.01815100639674605,0.06784155495095068,0.026923358478152692,-0.05922418951681835,0.026923358478152692,7.3655503391842005,0.02692335847815297,1646.0287520337986,-23.310734455673582,-0.02633060936191151,0.1620137192638129,-0.15339635382968053,0.03494797479604386,7.271378174871339,7.459722503497063,1498.003784717793,1808.6710213021352,Train
2012-03-01,2366.4639,7.7695746421813965,7.425220660169745,0.34435398201165146,-0.08850278169821403,0.4328567637098655,0.00903345276108561,0.03315800857847634,-0.4061181193249516,0.39216195086935607,-0.00697808422779779,0.04013609280627413,-0.0004165732150261173,0.4332733369248916,-0.08891935491324014,0.4332733369248916,7.336301305256505,0.43327333692489134,1598.5524547406008,767.9114124468992,-0.09439392467223184,0.0935607782421796,-0.18289670637044586,0.005057996543965576,7.242323953799299,7.4302786567137105,1455.0780045218205,1756.1641406031124,Train
2012-04-01,1555.1049,7.349941253662109,7.425666791638472,-0.07572553797636239,0.029384742817196125,-0.10511028079355851,-0.05465121537101498,-0.2373231262827489,-0.5894774346146979,0.19911324560881816,-0.19518209450293988,-0.04214103177980902,-0.04472912736654702,-0.06038115342701149,-0.015344384549350897,-0.06038115342701149,7.4103224070891205,-0.060381153427011114,1721.4453153821087,-166.34045698367117,-0.13756579745052322,0.04810754271742917,-0.1081810546333271,0.0774922855346253,7.3174857370051445,7.503159077173097,1568.7373401231193,1889.0091044843703,Train
2012-05-01,1352.265,7.210275650024414,7.426112923107198,-0.21583727308278355,0.03449165821075425,-0.2503289312935378,-0.07251171831650939,-0.3131801456813399,-0.6655420836143764,0.11468654603605755,-0.2754277687891594,-0.03775237689218047,-0.06362293723826512,-0.18670599405527266,-0.02913127902751087,-0.1867059940552727,7.396981644079687,-0.18670599405527266,1698.6191782170208,-346.3541635685833,-0.15547518669726168,0.028229312220731443,-0.12098352848650742,0.0627209704314857,7.30512939462069,7.488833893538684,1549.460469167848,1862.1273795155232,Train
2012-06-01,1893.171,7.546536445617676,7.4265590545759235,0.11997739104175231,0.04583206709135249,0.07414532395039983,-0.08695342494338215,-0.37451687416466656,-0.82540572143083,-0.045195275849040595,-0.4353004986399353,0.06078362447526875,-0.10126490346686509,0.17541022741726492,-0.0554328363755126,0.17541022741726492,7.371126218200411,0.17541022741726486,1655.2380361583757,237.93298434943677,-0.1931150122102485,-0.009414794723481668,-0.147282945118896,0.036417272367870825,7.279276109457028,7.462976326943794,1509.8896938352957,1814.5689615265758,Train
2012-07-01,1419.8783,7.259030342102051,7.42700518604465,-0.16797484394259943,-2.9796163225303086e-05,-0.16794504777937413,-0.11740165646805883,-0.5038364177670404,-1.0318016557092988,-0.25287900434879323,-0.642340330029046,0.13850391226200565,-0.1500123436863336,-0.01793270409304054,-0.1500421398495589,-0.01793270409304054,7.276963046195092,-0.01793270409304082,1506.3989491047103,-86.52065320627275,-0.24171084712894997,-0.05831384024371723,-0.24174064329217526,-0.05834363640694253,7.185264542752475,7.368661549637707,1374.320935922567,1651.160984692459,Train
2012-08-01,1487.4916,7.305518627166748,7.427451317513376,-0.12193269034662801,0.1440012230250086,-0.26593391337163663,-0.1310402116883991,-0.5617620064850835,-0.817536360021781,-0.0393229000729548,-0.4284296300473679,-0.13333237643771556,-0.09964716037982344,-0.1662867529918132,0.044354062645185155,-0.16628675299181317,7.471805380158561,-0.16628675299181328,1830.6696890023816,-343.1781118539441,-0.19126217441435572,-0.008032146345291126,-0.04726095138934713,0.13596907667971747,7.380190366124029,7.563420394193093,1670.3186659942764,2006.4052410670363,Train
2012-09-01,1487.4916,7.305518627166748,7.427897448982103,-0.12237882181535475,0.10131642259432395,-0.2236952444096787,-0.16612910913437373,-0.7107913581420552,-1.0277193118905041,-0.25051226220046047,-0.6391157870454823,-0.07167557109657285,-0.14925312641267308,-0.07444211799700562,-0.04793670381834912,-0.07444211799700563,7.379960745163753,-0.0744421179970054,1669.9349402546875,-182.44336310625,-0.2407496610135691,-0.05775659181177702,-0.13943323841924515,0.04355983078254694,7.288464210562857,7.47145727976465,1523.8358724389097,1830.0321950245134,Train
2012-10-01,1690.3313,7.433271408081055,7.428343580450829,0.004927827630226034,0.14294046317538012,-0.13801263554515408,-0.1347974227116955,-0.5777196102742137,-1.0019763975035765,-0.22579499564643785,-0.6138856965750071,0.03616608630079343,-0.14331271234505438,0.0053000767999002996,-0.0003722491696742658,0.0053000767999002996,7.427971331281155,0.0053000767998998555,1752.1144648488764,-61.78316602075142,-0.23468850277299272,-0.05193692191711607,-0.0917480395976126,0.09100354125826404,7.336595540853216,7.519347121709092,1599.02316925868,1919.8536388171979,Train
2012-11-01,1419.8783,7.259030342102051,7.428789711919555,-0.1697593698175046,-0.048617623069069686,-0.12114174674843492,-0.13034704441031317,-0.5588179906406977,-0.9091169227070801,-0.1341029117602059,-0.521609917233643,-0.037208073407054676,-0.12158641935607836,0.00044467260764344263,-0.17020404242514806,0.00044467260764344263,7.2585856694944075,0.00044467260764324834,1478.949904021103,-59.071608122665566,-0.21282477893742777,-0.03034805977472895,-0.26144240200649743,-0.07896568284379864,7.167347309913058,7.349824029075757,1349.8984356504764,1620.3296726170506,Train
2012-12-01,878.9723,6.779890537261963,7.429235843388281,-0.6493453061263184,-0.028327883829677235,-0.6210174222966411,-0.20672530750912363,-0.883211284782436,-1.3845633082984994,-0.6108197448963637,-0.9976915265974315,0.1144802418149955,-0.23367963174105646,-0.3873377905555847,-0.2620075155707337,-0.38733779055558465,7.167228327817548,-0.38733779055558504,1349.73771248556,-470.7654224464975,-0.3247684281554452,-0.14259083532666772,-0.3530963119851224,-0.17091871915634496,7.076139531403159,7.258317124231937,1232.1379511886955,1478.552523845354,Train
2013-01-01,1284.6517,7.159020900726318,7.429681974857008,-0.2706610741306896,-0.21540188013604997,-0.05525919399463966,-0.22534371600567635,-0.9622872760243386,-1.2380593050341122,-0.46559716829414016,-0.8518282366641262,-0.1104590393602124,-0.1993361821809793,0.14407698818633963,-0.41473806231702925,0.14407698818633963,7.014943912539978,0.14407698818633996,1158.9379143969563,125.71381900148117,-0.29027412291414395,-0.10839824144781465,-0.5056760030501939,-0.3238001215838646,6.924005971806814,7.105881853273143,1058.1095849128558,1269.3652052835175,Train
2013-02-01,1555.1049,7.349941253662109,7.430128106325734,-0.08018685266362446,-0.12706574446776903,0.04687889180414456,-0.2361171892497488,-1.0080443060116697,-1.5846976516985933,-0.8128467656068297,-1.1987722086527115,0.19072790264104178,-0.2810239927850795,0.32790288458922406,-0.40808973725284853,0.32790288458922406,7.022038369072885,0.327902884589224,1167.1963032640067,387.9085551344308,-0.3718899741657062,-0.19015801140445282,-0.4989557186334752,-0.31722375587222185,6.931172387692259,7.112904350453512,1065.72686636966,1278.3177391360264,Train
2013-03-01,1960.7843,7.581609725952148,7.430574237794461,0.15103548815768786,-0.08850278169821403,0.23953826985590188,-0.23253875071257316,-0.9928459836374571,-1.3878896705426418,-0.619636279815979,-1.0037629751793105,0.010916991541853327,-0.23510915172667932,0.4746474215825812,-0.32361193342489336,0.4746474215825812,7.106962304369567,0.47464742158258133,1270.7385145255662,690.0457872322463,-0.32555161873069194,-0.14466668472266664,-0.41405440042890596,-0.23316946642088066,7.016519837365554,7.19740477137358,1160.7673304848772,1391.1194088429795,Train
2013-04-01,1419.8783,7.259030342102051,7.431020369263186,-0.17199002716113565,0.029384742817196125,-0.20137476997833179,-0.2818694499642805,-1.2023630292381702,-1.6090368751014883,-0.8592060422046859,-1.234121458653087,0.03175842941491691,-0.2893469586590122,0.08797218868068044,-0.2599622158418161,0.08797218868068046,7.17105815342137,0.08797218868068057,1354.9207210351353,64.95757486330217,-0.37762063396126533,-0.2010732833567592,-0.3482358911440692,-0.17168854053956306,7.082784478119117,7.2593318287236235,1240.359372369007,1480.0545943869683,Train
